ServiceSystem_Name,ServiceSystem_Description,ServiceSite_ServiceSite_Both,ServiceSystem_HoursOfOperation,ServiceSystem_Websiteurl,ServiceSystem_PhoneMain,ServiceCustom_MatchlistPhone1Note,ServiceSystem_EligibilityTextArea,ServiceSystem_ApplicationintakeProcess,ServiceSystem_DocumentsRequired,ServiceCustom_IsThereAFeeForTheService,ServiceSystem_FeeStructure
Food Pantry,Provides food weekly to people in need. Limited service area.,Linwood Christian Church,Wed 10am-noon,,317-357-8771,Voice-Administration,Living within boundaries: N-21st St.; S-Washington St.; E-Emerson Ave.; W-Rural St.,Walk in during pantry hours; use the rear entrance to access the pantry.,"* State-issued photo ID* Recent business mail, (such as a utility bill)",false,
Andrew's Harvest,Provides food and toiletries to persons in need. Service is limited to once every 30 days with a maximum of six visits per year. Limited service area.,Christ United Methodist Church,Thurs 9am-11am  (serves first 50 people),,317-882-1549,,"Living in zip codes 46217, 46221, 46227, and 46237 in Marion County     or 46142 and 46143 in Johnson County -- Not used this pantry within the past 30 days (maximum of 6 visits per year)",Walk in; serves first 50 people.,Photo ID -- Current utility bill or official mail with name and address,false,
Food Pantry,Provides perishable and nonperishable food to people in need. Limited service area.,God's Bounty Food Pantry,Thurs 1pm-6:30pm,,317-210-3663,Voicemail,Living in the following boundaries in Marion County: N- Washington St.; S-County Line Rd.;   W-Emerson Ave.; E-Carroll Rd./County Line Rd.  -OR- Northwestern Consolidated School District in Shelby County  -OR- Beech Grove -- Limit two visits per month,Walk in; pantry is in the house next to New Bethel Baptist Church.,Proof of current address (such as a utility bill less than 30 days old),false,
Bread 'N' Word,"Offers a food pantry and clothing closet for persons in need. Clients may also select clothing, shoes, and hygiene items while at the food pantry. Limited service area.",Tuxedo Park Baptist Church,Thurs 5pm-6pm ; limited to first 20 people,,317-357-8087,,* Living within zip code 46201* Limited to one visit per month.,Walk in. Pantry serves first 20 people only; arrive early for best chance of service.,* Photo ID* Recent mail with name and address showing 46201 zip code,false,None
Meal Site,Provides a hot meal once per week open to all.,Tuxedo Park Baptist Church,Thurs 6pm-7pm  or before if food is gone,,317-357-8087,,Open,Walk in; arrive by 6pm for best chance of service.,Nothing needed,false,None
Food Pantry,"Offers a food pantry, open to all in need after attending church service. Selection varies based on donations. Open service area.",Divine Direction Christian Church,"Church Service: Sun 11:30am , (food is provided after the service.)",,317-225-6695,Food Pantry,Attend Sunday service at this church,Walk in to attend church service; food is provided after the service.,* Photo ID* Proof of address (utility bill preferred),false,
Soup Kitchen,Provides a hot meal open to all in need. Persons receiving the meal are required to participate in a Bible study offered during the meal.,Divine Direction Christian Church,Monthly 1st and 3rd Wed 6:30pm-7:30pm,,317-251-8122,,Open,Walk in.,Nothing needed,false,
Sharing Place,Provides perishable and nonperishable food to persons in need once per month. Limited service area.,Sharing Place,Mon and Thurs 10am-3pm Tues 4pm-8pm Monthly 2nd Sat 10am-1pm,,317-760-0420,,"Living in zip code 46216, 46218, 46219, 46220, 46226, 46235, 46236, 46250, or 46256 -- Not used this pantry within the current month -- May come 2 times per month; 2nd visit must be on Sat",Walk in during pantry hours to receive food or to donate; use Door 5 to access the pantry.,"Required at every visit: - Photo ID with name and current zip code           - OR -  - Business mail less than 30 days old, (such as utility bill) showing name and current address",false,
Food Pantry,Provides nonperishable food to persons in need. Limited service area.,Eagle Creek Community Church,2nd and 4th Wed 6:30pm-8pm,,317-291-9619,,"Living in zip code 46123, 46214, 46222, 46224, 46234, 46241, 46254, 46260, 46268, or 46278",Call to confirm pantry schedule; walk in during pantry hours.,Photo ID  -- Proof of address (not required if client has a written referral from social service agency),false,
Food Pantry,Provides food to persons in need. Limited service area.,Salvation Army Eagle Creek Corps,Fri 9am-noon  (or before if food is gone),,317-299-4454,,* Living in Hendricks County or west of Meridian Street in Marion County* Limit one visit per month,Call to schedule appointment,Call for more information,false,
Food Pantry,Provides nonperishable food for persons in need. Limited service area.,Salvation Army Fountain Square Corps,Pantry: Tues and Thurs 10am-noon  Office: Mon-Fri 10am-4pm,,317-632-0156,,* Living east of Meridian Street in Marion County* Not used this pantry within the past 30 days,Call for availability before visiting pantry.,* Valid photo ID* Proof of address (prefer copy of lease or utility bill),false,
Food Pantry,"Provides perishable and nonperishable food to persons in need. Household items are also available including, bedding, towels, small kitchenware, cleaning supplies, hygiene supplies, and toys. Limited service area.",Hope and Help Center,Tues 10am-noon and Thurs 10am-noon,,,,"(1) Living in zip code 46201, 46202, 46203, 46218, or 46222(2) Low-income/financial need",Walk in during pantry hours.,"(1) ID for all household members (photo ID for adults; birth certificate,    Social Security card, school records accepted for children)(2) Proof of current address if different from photo ID (recent mail with name and address)(30 If possible, bring bags for carrying groceries home.",false,
Soup Kitchen,Provides a free meal each week for all in need.,Hope and Help Center,"Dec 25, 2018: Tues 11am-1pm",,,,Homeless or low income,"Call by Dec 18, 2018 to register for meal.",Photo ID,false,
Food Pantry,Offers food each Tuesday to persons in need. Limited service area.,Community Caring And Sharing,Sign in: Tues 9:30am-10am ; or sooner if all slots are full Distribution: Tues 10:30am-11am,,317-243-8023,,Living in Wayne or Decatur Township in Marion County,"Walk in (Holt Road entrance) to sign in. Limited slots available each week; first come, first served.",* Photo ID* Recent piece of mail,false,
Food Pantry,Provides perishable and nonperishable food to persons in need through a monthly pantry. Open service area.,Lakeview Church,"For 2019: Feb 26, March 26, Apr 30, May 21, June 25, July 30, Aug 27, Sept 24, Oct 22, Nov 19, Dec 17Monthly on select Tues 10am-noon",,317-243-9396,417  Food Pantry,Open,Walk in; use Door 3.,Proof of address,false,None
Rainbow House,Provides nonperishable food to persons in need. Fresh produce is sometimes available. Limited service area.,Ebenezer Baptist Church - Rainbow House Food Pantry,Thurs 9am-noon,,317-916-9952,,Living in zip code 46202 or 46208 --  Limit of one visit every other week,Walk in.,Proof of address (such as recent mail with name and current address),false,
CICOA Neighborhood Meal Site - Eldersource of Greater Indianapolis- Libby Fogle Lunch Brunch,"Offers a hot, nutritious lunch two days a week for area seniors. One day advance notice required.",Eldersource Of Greater Indianapolis - Libby Fogle Lunch Bunch,Lunch: Tues and Thurs noon -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,CICO,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - John J. Barton Annex,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",John J. Barton Annex,Lunch: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Carriage House of Glendale,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Carriage House Of Glendale,Meals: Mon-Fri noon -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Bethany Village,"Offers a hot, nutritious meal each weekday for area seniors. One day advance notice required.",Bethany Village,Meals: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Green Park Terrace,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Green Park Terrace,Lunch: Mon-Fri 11:30am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Mount Zion Suburban,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Mount Zion Suburban,Meals: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - AHEPA National Housing Corporation,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",AHEPA National Housing Corporation,Lunch: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Nora Commons on the Monon,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Nora Commons On The Monon,Lunch: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Crooked Creek Tower,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Crooked Creek Tower,Meals: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Ken-Mar Apartments,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Ken-Mar Apartments,Meals: Mon-Fri 11:30am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Cambridge Square of Beech Grove,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Cambridge Square Of Beech Grove,Lunch: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Indiana Avenue Apartments,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Indiana Avenue Apartments,Lunch: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Lugar Towers,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Lugar Towers,Meals: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Stetson Senior Apartments,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Stetson Senior Apartments,Meals: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Crawford Manor,"Offers a hot, nutritious lunch five days a week for area seniors. One day advance notice required.",Crawford Manor,Lunch: Mon-Fri 11:15am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,CICOA Meals and More,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Shelby Senior Services,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Shelby Senior Services,Meals: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - John H Boner Center,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",John H. Boner Community Center,Lunch: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Primelife Enrichment,"Offers a hot, nutritious lunch four days of the week for area seniors. One day advance notice required.",Primelife Enrichment,"Lunch: Mon, Tues, Thurs, and Fri 11:30am -- Reservation Line: Mon-Fri 8am-4:30pm",,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Thorntown Public Library,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Thorntown Public Library,Lunch: Mon-Fri 11:30am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Social of Greenwood,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Social Of Greenwood,Lunch: Mon-Fri 11:30am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Community Alliance of the Far Eastside,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Community Alliance of The Far Eastside,Lunch: Mon-Fri 11am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Perry Senior Citizens Services,"Offers a hot, nutritious lunch four days a week for area seniors. One day advance notice required.",Perry Senior Citizens Services,Meals: Mon-Thurs 11:30am -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,,Age 60 or older and your spouse -- Building residents that are of any age,Call to make a reservation at least 24 hours in advance.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
CICOA Neighborhood Meal Site - Hendricks County Senior Services,"Offers a hot, nutritious lunch each weekday for area seniors. One day advance notice required.",Hendricks County Senior Services,Meals: Mon-Fri noon  -- Reservation Line: Mon-Fri 8am-4:30pm,,317-803-6042,CICOA Meals and More,Age 60 or older and your spouse -- Building residents that are of any age,Call the CICOA Meals and More Reservation Line at least 24 hours in advance to make a reservation.,,true,"Persons age 60 or older, their spouses, and building residents of any age: None -- Person ages 59 or younger living outside the building: $6"
Ican Food Pantry,Offers food to persons in need. Limited service area; one visit per month.,Irvington Churches Advocacy Network - Downey Avenue Christian Church,Thurs 1pm-3pm,,317-936-9639,Food Pantry (recording),* Living in zip code 46219* Not used this pantry during the current month,Walk in; use the Hibbon Street door by the church parking lot.,Proof of address (such as photo ID or a recent utility bill),,
Food And Clothing,Offers food to persons in need. Limited service area; will serve from outside boundaries one time.,"Nu Corinthian Baptist Church - Inner City Ministry, Sanctity Of Salvation",Monthly 2nd Sat noon-until food runs out,,317-921-0068,,Open,Walk in.,Photo ID,,
Meal Site,Provides a hot meal free on Tuesday evenings to anyone who would like to attend.,"Nu Corinthian Baptist Church - Inner City Ministry, Sanctity Of Salvation",Tues 5pm-6:30pm,,317-921-0068,,Open,Walk in.,Nothing needed,,
Food Pantry,"Provides perishable and nonperishable food to persons in need. Toiletries, household goods, and diapers may also be available. Limited service area.",Light Of The World Christian Church,Mon 6pm-7:30pm,,317-254-5922,,Living in Marion County,Walk in.,Photo ID,false,None
Food Pantry,Provides a monthly food pantry open to all in need.,Chapel Hill United Methodist Church,Monthly last Sat 9am-noon,,317-241-6163,,Open,"Walk in; use entry at back of church (east side), enter through double doors in middle of church.",Photo ID,false,
Food Pantry,"Provides food to veterans and military families in need; assistance limited to once every 30 days. Clothing, hygiene items, and small household goods are also available to veterans.",Hoosier Veterans Assistance Foundation,Tues and Thurs 11:30am-2:30pm,,317-951-0688,,* Veterans and/or families of veterans or active duty military* Limited to one visit every 30 days,Walk in during pantry hours.,"Proof of military service (such as DD214, VA Hospital card, or Dependent of Active Military member ID card)",false,
Food And Clothing Pantry,Provides food and donated clothing to persons in need. Available items vary based on donations received. Open service area.,Turning Point Family Worship Center - Food And Clothing Pantry,Mon 4pm-6pm; Fri 2pm-4pm; Sat 10am-noon,,317-898-4420,,Limit one visit per month,"* Walk in to receive food and choose clothing.* To donate food or clothing, drop off during pantry hours","* Photo ID* Birth certificate, social security card, or other form of ID for all members of the household  (such as birth certificate, social security card, Medicaid card, etc.)",,
Food Pantry,Provides food to people in need. Limited service area.,Fay Biccard Glick Neighborhood Center At Crooked Creek,Tues noon-5pm,,317-293-2600,,Living within Pike or Washington Township in Marion County -- Not used this pantry within the past 30 days,Walk in.,"Photo ID -- Proof of address (recent utility bill, official mail, or lease agreement) -- If household of 3 or more people: Proof of each household member (Social Security card, birth certificate)",false,
Feed The Need,Provides nonperishable food for persons in need. Open service area; limit one visit every two weeks.,Cornerstone Family Worship Center,Tues and Wed 10am-noon,,317-353-8377,,Not already visited this pantry during the past 2 weeks,Walk in; pantry is at the rear entrance.,Photo ID,false,
Food Pantry,Provides food to people in need. Limited service area.,Galilee Missionary Baptist Church,Mon 11:30am-1:30pm,,317-925-6851,,Limit one visit every other week,Walk in.,State-issued photo ID -- Proof of address,false,
Food Pantry,Provides perishable and nonperishable food to persons in need. Limited service area.,Miracles And Blessings,Monthly 2nd and 4th Wed 9am-11am,,,,* Living in zip code 46218* Limit two visits per month,Walk in.,Proof of address,false,
Food Pantry,Provides nonperishable food to persons in need. Limited service area.,Broad Ripple United Methodist Church,Monthly 1st Thurs 5:45pm-6:45pm,,317-251-5049,,"Living in zip code 46205, 46218, or 46220 in Marion County",Walk in.,Photo ID  -OR- Mail with name and current address,false,
Food Pantry,Provides food to persons in need. Limited service area. Also accepts donations for the pantry and other outreach programs.,Mary Rigg Neighborhood Center,Wed 12:30pm-2:30pm,,317-639-6106,,Living within boundaries: N-Railroad tracks south of Washington Street-- S-Raymond Street -- E-White River -- W-Holt Road -- Limit one visit per month,Walk in during pantry hours.,Photo ID -- Proof of address (utility bill or official mail within past 30 days),false,
Soup Kitchens,Provides a hot meal for people in need. Open service area.,Phillips Temple Christian Methodist Episcopal Church,Tues 6pm-6:45pm,,317-925-2000,,Open,Walk in.,,false,
Meal Site,Offers a sit-down meal once per week for persons in need.,Greater Saint Mark Missionary Baptist Church,Tues 11:45am-1pm,,317-545-5673,,Open,Walk in.,Nothing needed,,
Storehouse,"Provides meat, bread, perishable, and nonperishable food for persons in need. Also offers blood glucose reading (diabetes) and blood pressure reading to clients at the Saturday pantry. Open service area.",Westside Episcopal Ministry Center,Monthly 2nd Sat 9am-11am and 4th Wed 5:30pm-6:30pm -- Seniors 55+ Pantry: Monthly 4th Wed 2pm-3pm:,,317-293-0372,,Open,"Walk in; first come, first served. Be prepared to give address, phone number, and the names and ages of all persons living in the home.",,false,
Food Pantry,Provides perishable and nonperishable food to people in need. Clients make their own selection from available items. Limited service area.,New Wineskin Ministries,Thurs 1pm-3:30pm,,317-328-1800,,Open,Walk in during pantry hours.,State-Issued Photo ID -- Piece of mail-- Bags for food,false,
Food Pantry,Provides perishable and nonperishable food to people in need. Open service area.,Glendale Seventh-Day Adventist Church,Monthly 3rd Thurs 4:15-5:15pm,https://glendalesda.org/,317-253-3711,,Open,Walk in; pantry entrance and parking are located at the rear of the building.,,false,
Self Choice Food Pantry,Provides food to persons in need. Limited service area.,Edna Martin Christian Center,Mon-Fri 1pm-3pm,,317-637-3776,,Living within boundaries: N-34th St.; S-Massachusetts Ave.; E-Sherman Dr.; W-Monon Trail/Cornell Ave.,* Call ahead for availability* Complete intake form upon arrival * Brief interview with case worker,"* Photo ID* Proof of address (lease or recent utility bill)* Social Security numbers for all household members* Proof of income; if no income, must provide wage printout from WorkOne",false,None
Food And Clothing Pantry,"Provides food, clothing, and household items free of charge to persons in need and accepts donations of these items. Limited service area.",Servant's Heart Of Indy,Thurs 6:30pm-9pm; and Sat 9am-2pm**Thursday evenings are for food only.,,317-788-9433,,"Living in zip code 46227, 46237, 46259, 46107, 46203 (south of Raymond St.), or 46239 (south ofTroy Ave.)",* For assistance: Walk in; arrive at least 30 minutes before closing time. (Note: Thursday evening may be limited to the first 35 clients in line.)* For donations:  Walk in or call to schedule an appointment.,* Photo ID  * Proof of address dated within last 30 days (utility bill or first class mail with     name and current address; junk mail and written rent receipts not accepted),false,
Food Pantry,Provides perishable and nonperishable food as well as clothing (baby through adult sizes) to people in need. Open service area.,Jesus Inside Prison Ministry,Wed 7:15pm-8:45pm,,,,Open,Walk in.,Proof of address,false,
