Service Type,Provider Name,Address,City,State,ZipCode,Longitude,Latitude
SNAP (food assistance),Owen County DFR,450 E. Franklin Street Suite B,Spencer,IN,47460,-86.75758,39.28615
SNAP (food assistance),Perry County DFR,8735 State Road 37 Suite A,Tell City,IN,47586,-86.74077,37.968204
SNAP (food assistance),Carroll County DFR,901 Prince William Rd Suite F,Delphi,IN,46923,-86.66699,40.581448
SNAP (food assistance),Starke County DFR,1921 S. Heaton Street,Knox,IN,46534,-86.62064,41.27621
SNAP (food assistance),Pulaski County DFR,710 N. Plymouth Road,Winamac,IN,46996,-86.60336,41.058094
SNAP (food assistance),Monroe County DFR,1711 N. College Avenue Suite 101,Bloomington,IN,47404,-86.5347,39.181126
SNAP (food assistance),Clinton County DFR,51 W. Washington Street,Frankfort,IN,46041,-86.512344,40.281612
SNAP (food assistance),Boone County DFR,362 N. Mt. Zion Road,Lebanon,IN,46052,-86.491425,40.039326
SNAP (food assistance),Lawrence County DFR,1212 I Street Suite 3,Bedford,IN,47421,-86.4827,38.864822
SNAP (food assistance),Orange County DFR,"326 N. Gospel Street, Suite B",Paoli,IN,47454,-86.46844,38.558655
SNAP (food assistance),Crawford County DFR,4030 E. Goodman Ridge Rd.,Marengo,IN,47140,-86.38391,38.366554
SNAP (food assistance),Hendricks County DFR,2471 E. Main Street,Plainfield,IN,46168,-86.36447,39.71485
SNAP (food assistance),Marshall County DFR,510 W. Adams Street Suite 210,Plymouth,IN,46563,-86.314095,41.3423
SNAP (food assistance),Morgan County DFR,7851 Waverly Road,Martinsville,IN,46151,-86.26938,39.54475
SNAP (food assistance),West - Marion Co. DFR,5610 Crawfordsville Rd. Suite 500,Indianapolis,IN,46224,-86.25825,39.794693
SNAP (food assistance),"Colfax Ave. Office, St.Joseph County DFR",401 East Colfax Ave. Suite 375,South Bend,IN,46617,-86.247055,41.67777
SNAP (food assistance),Fulton County DFR,1519 Main Street,Rochester,IN,46975,-86.21692,41.05793
SNAP (food assistance),"Mishawaka Office, St.Joseph County DFR","102 N. Center Street, Suite 500",Mishawaka,IN,46544,-86.1893,41.66217
SNAP (food assistance),Central - Marion Co. DFR,3266 N. Meridian St. Suite 400,Indianapolis,IN,46208,-86.15677,39.81497
SNAP (food assistance),South - Marion Co. DFR,3826 Madison Avenue,Indianapolis,IN,46227,-86.14433,39.710983
SNAP (food assistance),Howard County DFR,114 West Jackson Street,Kokomo,IN,46901,-86.13149,40.489914
SNAP (food assistance),North - Marion Co. DFR,2620 Kessler Blvd. E. Dr. Suite 100,Indianapolis,IN,46220,-86.11933,39.86237
SNAP (food assistance),Washington County DFR,709 Anson Street,Salem,IN,47167,-86.094444,38.61127
SNAP (food assistance),Miami County DFR,14 S. Wabash Street,Peru,IN,46970,-86.067345,40.754147
SNAP (food assistance),East - Marion Co. DFR,1213 N. Arlington Avenue,Indianapolis,IN,46219,-86.06426,39.784573
SNAP (food assistance),Tipton County DFR,701 E. Jefferson Street Suite 2,Tipton,IN,46072,-86.04932,40.28202
SNAP (food assistance),Johnson County DFR,1774 E Jefferson St,Franklin,IN,46131,-86.02617,39.480736
SNAP (food assistance),Hamilton County DFR,1101 S. 10th Street,Noblesville,IN,46060,-86.012146,40.03636
SNAP (food assistance),Elkhart County DFR,225 East Jackson Blvd,Elkhart,IN,46516,-85.975784,41.686733
SNAP (food assistance),Bartholomew County DFR,2330 Poshard Drive,Columbus,IN,47203,-85.8985,39.248985
SNAP (food assistance),Wabash County DFR,403 South Cass Street,Wabash,IN,46992,-85.82568,40.802578
SNAP (food assistance),Kosciusko County DFR,2307 E. Center Street Suite E,Warsaw,IN,46580,-85.82552,41.237984
SNAP (food assistance),Floyd County DFR,824 University Woods Drive Suite 11,New Albany,IN,47150,-85.81568,38.328693
SNAP (food assistance),Hancock County DFR,1290 North State Street Suite A,Greenfield,IN,46140,-85.76981,39.80057
SNAP (food assistance),Grant County DFR,830 N. Miller Avenue,Marion,IN,46952,-85.69315,40.569965
SNAP (food assistance),Huntington County DFR,1175 Etna Avenue,Huntington,IN,46750,-85.50037,40.870018
SNAP (food assistance),Whitley County DFR,543 N. Line Street Suite B,Columbia City,IN,46725,-85.49148,41.16707
SNAP (food assistance),Rush County DFR,148 E. US Highway 52,Rushville,IN,46173,-85.44249,39.601242
SNAP (food assistance),Warrick County DFR,911 W. Main Street,Boonville,IN,46701,-85.43755,41.395668
SNAP (food assistance),Delaware County DFR,1107 S. Tillotson Avenue Suite 2,Muncie,IN,47304,-85.4191,40.1835
SNAP (food assistance),Jefferson County DFR,493 W. Hutchinson Lane Suite A,Madison,IN,47250,-85.39636,38.78534
SNAP (food assistance),Henry County DFR,517 New York Avenue,New Castle,IN,47362,-85.37917,39.9351
SNAP (food assistance),Ripley County DFR,888 S. Adams Street,Versailles,IN,47042,-85.25721,39.05898
SNAP (food assistance),Allen County DFR,201 E. Rudisill Boulevard Suite 302,Fort Wayne,IN,46806,-85.13455,41.0501
SNAP (food assistance),Fayette County DFR,1501 N. Eastern Avenue,Connersville,IN,47331,-85.13084,39.65017
SNAP (food assistance),Switzerland County DFR,1035 W. Main Street Suite 3,Vevay,IN,47043,-85.08174,38.73911
SNAP (food assistance),DeKalb County DFR,1390 South Grandstaff Drive,Auburn,IN,46706,-85.07137,41.358902
SNAP (food assistance),DeKalb County DFR - IMPACT,1390 South Grandstaff Drive,Auburn,IN,46706,-85.07137,41.358902
SNAP (food assistance),Franklin County DFR,12050 Saint Mary's Road Suite A,Brookville,IN,47012,-85.018524,39.422497
SNAP (food assistance),Steuben County DFR,202 E. Harcourt Road Suite V,Angola,IN,46703,-84.99634,41.6572
SNAP (food assistance),Jay County DFR,1043 W. Votaw Street,Portland,IN,47371,-84.9925,40.43923
SNAP (food assistance),Randolph County DFR,221 N. Main Street,Winchester,IN,47394,-84.98134,40.173836
SNAP (food assistance),Adams County DFR,1145 Bollman Street,Decatur,IN,46733,-84.936005,40.817616
SNAP (food assistance),Union County DFR,303A N. Main Street,Liberty,IN,47353,-84.93093,39.63832
SNAP (food assistance),Wayne County DFR,50 South 2nd Street,Richmond,IN,47374,-84.898766,39.828346
SNAP (food assistance),Ohio County DFR,308 North High Street Suite B,Rising Sun,IN,47040,-84.8574,38.947567
SNAP (food assistance),Dearborn County DFR,230 Mary Avenue Suite 100,Greendale,IN,47025,-84.85073,39.092354
SNAP (food assistance),Blackford County DFR,1800 N. Walnut Street,Hartford City,IN,47348,-85.3404,40.4662
SNAP (food assistance),Brown County DFR,121 Locust Lane,Nashville,IN,47448,-86.2454,39.2103
SNAP (food assistance),Cass County DFR,1 Cass City Center Suite 301,Logansport,IN,46974,-85.9335,40.9519
SNAP (food assistance),Clark County DFR,285 Quartermaster Court,Jeffersonville,IN,47130,-85.6964,38.3327
SNAP (food assistance),Clark County DFR - IMPACT,285 Quartermaster Court,Jeffersonville,IN,47130,-85.6964,38.3327
SNAP (food assistance),Decatur County DFR,905 W. Keegans Way Suite 3,Greensburg,IN,47240,-85.4783,39.306
SNAP (food assistance),Harrison County DFR,2201 Concord Avenue NW Suite 120,Corydon,IN,47112,-86.1349,38.233
SNAP (food assistance),Jackson County DFR,320 Dupont Drive,Seymour,IN,47274,-85.9377,38.9665
SNAP (food assistance),Jennings County DFR,1171 N. State Street,North Vernon,IN,47265,-85.6376,39.0128
SNAP (food assistance),LaGrange County DFR,826 N. Detroit Street,LaGrange,IN,46761,-85.4227,41.6545
SNAP (food assistance),Madison County DFR,222 E. 10th Street Suite E,Anderson,IN,46016,-85.6758783,40.1066034
SNAP (food assistance),Montgomery County DFR,1633 Eastway Drive,Crawfordsville,IN,47933,-86.8996,40.0243268318986
SNAP (food assistance),Newton County DFR,4117 S. 240 W. Suite 200B,Morocco,IN,47963,-87.4387,40.9376
SNAP (food assistance),Noble County DFR,774 Trail Ridge Rd Suite C,Albion,IN,46701,-85.4184,41.4038
SNAP (food assistance),Putnam County DFR,1020 Avenue F Suite A,Greencastle,IN,46135,-86.84106875,39.6421
SNAP (food assistance),Scott County DFR,1048 W. Community Way,Scottsburg,IN,47170,-85.7982,38.7023
SNAP (food assistance),Shelby County DFR,2565 Parkway Drive Suite 2,Shelbyville,IN,46176,-86.0902,39.5519
SNAP (food assistance),Wells County DFR,915 North Main Street Suite 102,Bluffton,IN,46714,-85.1681525429634,40.7506805068506
