Property name,Address,City,County,State,ZIP code,Latitude,Longitude,Housing Authority,,,,,,,
PRESIDENTIAL ESTATES,PRESIDENTIAL ESTATES,VINCENNES,Knox,IN,47591,38.6693,-87.5106,Vincennes Housing Authority,,,,,,,
PRESIDENTIAL ESTATES,PRESIDENTIAL ESTATES,VINCENNES,Knox,IN,47591,38.6693,-87.5106,Vincennes Housing Authority,,,,,,,
PRESIDENTIAL ESTATES,PRESIDENTIAL ESTATES,VINCENNES,Knox,IN,47591,38.6693,-87.5106,Vincennes Housing Authority,,,,,,,
PRESIDENTIAL ESTATES,PRESIDENTIAL ESTATES,VINCENNES,Knox,IN,47591,38.6693,-87.5106,Vincennes Housing Authority,,,,,,,
SUNSET COURT,1 Sunset Ct,Vincennes,Knox,IN,475914263,38.663747,-87.536186,Vincennes Housing Authority,,,,,,,
MIAMI HOMES,3510 Miami Ln,Fort Wayne,Allen,IN,468091327,41.052964,-85.167744,Fort Wayne Housing Authority,,,,,,,
MIAMI HOMES,3510 Miami Ln,Fort Wayne,Allen,IN,468091327,41.052964,-85.167744,Fort Wayne Housing Authority,,,,,,,
MIAMI HOMES,3510 Miami Ln,Fort Wayne,Allen,IN,468091327,41.052964,-85.167744,Fort Wayne Housing Authority,,,,,,,
MIAMI HOMES,3510 Miami Ln,Fort Wayne,Allen,IN,468091327,41.052964,-85.167744,Fort Wayne Housing Authority,,,,,,,
BEACON HEIGHTS,2210 Beacon St,Fort Wayne,Allen,IN,468054766,41.096414,-85.103141,Fort Wayne Housing Authority,,,,,,,
BEACON HEIGHTS,2210 Beacon St,Fort Wayne,Allen,IN,468054766,41.096414,-85.103141,Fort Wayne Housing Authority,,,,,,,
BEACON HEIGHTS,2210 Beacon St,Fort Wayne,Allen,IN,468054766,41.096414,-85.103141,Fort Wayne Housing Authority,,,,,,,
BEACON HEIGHTS,2210 Beacon St,Fort Wayne,Allen,IN,468054766,41.096414,-85.103141,Fort Wayne Housing Authority,,,,,,,
MCCORMICK PLACE,3048 Schele Ave,Fort Wayne,Allen,IN,468032775,41.066756,-85.099123,Fort Wayne Housing Authority,,,,,,,
MCCORMICK PLACE,3048 Schele Ave,Fort Wayne,Allen,IN,468032775,41.066756,-85.099123,Fort Wayne Housing Authority,,,,,,,
MCCORMICK PLACE,3048 Schele Ave,Fort Wayne,Allen,IN,468032775,41.066756,-85.099123,Fort Wayne Housing Authority,,,,,,,
MCCORMICK PLACE,3048 Schele Ave,Fort Wayne,Allen,IN,468032775,41.066756,-85.099123,Fort Wayne Housing Authority,,,,,,,
BROOKMILL COURT,2703 Millbrook Dr,Fort Wayne,Allen,IN,468023843,41.06027,-85.168509,Fort Wayne Housing Authority,,,,,,,
BROOKMILL COURT,2703 Millbrook Dr,Fort Wayne,Allen,IN,468023843,41.06027,-85.168509,Fort Wayne Housing Authority,,,,,,,
BROOKMILL COURT,2703 Millbrook Dr,Fort Wayne,Allen,IN,468023843,41.06027,-85.168509,Fort Wayne Housing Authority,,,,,,,
BROOKMILL COURT,2703 Millbrook Dr,Fort Wayne,Allen,IN,468023843,41.06027,-85.168509,Fort Wayne Housing Authority,,,,,,,
NORTH HIGHLANDS,2100 St Marys Ave,Fort Wayne,Allen,IN,468082362,41.094258,-85.156088,Fort Wayne Housing Authority,,,,,,,
NORTH HIGHLANDS,2100 St Marys Ave,Fort Wayne,Allen,IN,468082362,41.094258,-85.156088,Fort Wayne Housing Authority,,,,,,,
NORTH HIGHLANDS,2100 St Marys Ave,Fort Wayne,Allen,IN,468082362,41.094258,-85.156088,Fort Wayne Housing Authority,,,,,,,
NORTH HIGHLANDS,2100 St Marys Ave,Fort Wayne,Allen,IN,468082362,41.094258,-85.156088,Fort Wayne Housing Authority,,,,,,,
TALL OAKS,7300 Decatur Rd,Fort Wayne,Allen,IN,468163950,41.018325,-85.115324,Fort Wayne Housing Authority,,,,,,,
TALL OAKS,7300 Decatur Rd,Fort Wayne,Allen,IN,468163950,41.018325,-85.115324,Fort Wayne Housing Authority,,,,,,,
TALL OAKS,7300 Decatur Rd,Fort Wayne,Allen,IN,468163950,41.018325,-85.115324,Fort Wayne Housing Authority,,,,,,,
TALL OAKS,7300 Decatur Rd,Fort Wayne,Allen,IN,468163950,41.018325,-85.115324,Fort Wayne Housing Authority,,,,,,,
MAUMEE TERRACE,908 Harmar St,Fort Wayne,Allen,IN,468033919,41.079816,-85.126358,Fort Wayne Housing Authority,,,,,,,
MAUMEE TERRACE,908 Harmar St,Fort Wayne,Allen,IN,468033919,41.079816,-85.126358,Fort Wayne Housing Authority,,,,,,,
MAUMEE TERRACE,908 Harmar St,Fort Wayne,Allen,IN,468033919,41.079816,-85.126358,Fort Wayne Housing Authority,,,,,,,
MAUMEE TERRACE,908 Harmar St,Fort Wayne,Allen,IN,468033919,41.079816,-85.126358,Fort Wayne Housing Authority,,,,,,,
SCATTERED SITES,1501 High St,Fort Wayne,Allen,IN,468083420,41.084779,-85.161283,Fort Wayne Housing Authority,,,,,,,
SCATTERED SITES,1501 High St,Fort Wayne,Allen,IN,468083420,41.084779,-85.161283,Fort Wayne Housing Authority,,,,,,,
SCATTERED SITES,1501 High St,Fort Wayne,Allen,IN,468083420,41.084779,-85.161283,Fort Wayne Housing Authority,,,,,,,
SCATTERED SITES,1501 High St,Fort Wayne,Allen,IN,468083420,41.084779,-85.161283,Fort Wayne Housing Authority,,,,,,,
RIVER COVE,2631 River Cove Trl,Fort Wayne,Allen,IN,468253163,41.149098,-85.108994,Fort Wayne Housing Authority,,,,,,,
RIVER COVE,2631 River Cove Trl,Fort Wayne,Allen,IN,468253163,41.149098,-85.108994,Fort Wayne Housing Authority,,,,,,,
RIVER COVE,2631 River Cove Trl,Fort Wayne,Allen,IN,468253163,41.149098,-85.108994,Fort Wayne Housing Authority,,,,,,,
RIVER COVE,2631 River Cove Trl,Fort Wayne,Allen,IN,468253163,41.149098,-85.108994,Fort Wayne Housing Authority,,,,,,,
MIDDLETOWN GARDENS,2906 E Bartirome St,Muncie,Delaware,IN,473027540,40.174534,-85.352342,Delaware County Housing Authority,,,,,,,
MIDDLETOWN GARDENS,2906 E Bartirome St,Muncie,Delaware,IN,473027540,40.174534,-85.352342,Delaware County Housing Authority,,,,,,,
MIDDLETOWN GARDENS,2906 E Bartirome St,Muncie,Delaware,IN,473027540,40.174534,-85.352342,Delaware County Housing Authority,,,,,,,
MIDDLETOWN GARDENS,2906 E Bartirome St,Muncie,Delaware,IN,473027540,40.174534,-85.352342,Delaware County Housing Authority,,,,,,,
MIDDLETOWN GARDENS,2906 E Bartirome St,Muncie,Delaware,IN,473027540,40.174534,-85.352342,Delaware County Housing Authority,,,,,,,
MARY KAY MANOR,2950 E Tanner Dr,Muncie,Delaware,IN,473027555,40.173094,-85.349532,Delaware County Housing Authority,,,,,,,
MARY KAY MANOR,2950 E Tanner Dr,Muncie,Delaware,IN,473027555,40.173094,-85.349532,Delaware County Housing Authority,,,,,,,
MARY KAY MANOR,2950 E Tanner Dr,Muncie,Delaware,IN,473027555,40.173094,-85.349532,Delaware County Housing Authority,,,,,,,
MARY KAY MANOR,2950 E Tanner Dr,Muncie,Delaware,IN,473027555,40.173094,-85.349532,Delaware County Housing Authority,,,,,,,
MARY KAY MANOR,2950 E Tanner Dr,Muncie,Delaware,IN,473027555,40.173094,-85.349532,Delaware County Housing Authority,,,,,,,
MUNSYANA HMS,671 E 2nd St,Muncie,Delaware,IN,473022410,40.186721,-85.379912,Housing Authority of the City of Muncie,,,,,,,
MUNSYANA HMS,671 E 2nd St,Muncie,Delaware,IN,473022410,40.186721,-85.379912,Housing Authority of the City of Muncie,,,,,,,
MUNSYANA HMS,671 E 2nd St,Muncie,Delaware,IN,473022410,40.186721,-85.379912,Housing Authority of the City of Muncie,,,,,,,
MUNSYANA HMS,671 E 2nd St,Muncie,Delaware,IN,473022410,40.186721,-85.379912,Housing Authority of the City of Muncie,,,,,,,
MUNSYANA HMS,671 E 2nd St,Muncie,Delaware,IN,473022410,40.186721,-85.379912,Housing Authority of the City of Muncie,,,,,,,
PARKVIEW APTS,1623 N Brady St,Muncie,Delaware,IN,473033155,40.207884,-85.368988,Housing Authority of the City of Muncie,,,,,,,
PARKVIEW APTS,1623 N Brady St,Muncie,Delaware,IN,473033155,40.207884,-85.368988,Housing Authority of the City of Muncie,,,,,,,
PARKVIEW APTS,1623 N Brady St,Muncie,Delaware,IN,473033155,40.207884,-85.368988,Housing Authority of the City of Muncie,,,,,,,
PARKVIEW APTS,1623 N Brady St,Muncie,Delaware,IN,473033155,40.207884,-85.368988,Housing Authority of the City of Muncie,,,,,,,
PARKVIEW APTS,1623 N Brady St,Muncie,Delaware,IN,473033155,40.207884,-85.368988,Housing Authority of the City of Muncie,,,,,,,
PARKVIEW APTS,1623 N Brady St,Muncie,Delaware,IN,473033155,40.207884,-85.368988,Housing Authority of the City of Muncie,,,,,,,
PARKVIEW APTS,1623 N Brady St,Muncie,Delaware,IN,473033155,40.207884,-85.368988,Housing Authority of the City of Muncie,,,,,,,
PARKVIEW APTS,1623 N Brady St,Muncie,Delaware,IN,473033155,40.207884,-85.368988,Housing Authority of the City of Muncie,,,,,,,
PARKVIEW APTS,1623 N Brady St,Muncie,Delaware,IN,473033155,40.207884,-85.368988,Housing Authority of the City of Muncie,,,,,,,
EARTHSTONE TERRACE,3304 S Juniper Ln,Muncie,Delaware,IN,473026101,40.163585,-85.362677,Housing Authority of the City of Muncie,,,,,,,
EARTHSTONE TERRACE,3304 S Juniper Ln,Muncie,Delaware,IN,473026101,40.163585,-85.362677,Housing Authority of the City of Muncie,,,,,,,
EARTHSTONE TERRACE,3304 S Juniper Ln,Muncie,Delaware,IN,473026101,40.163585,-85.362677,Housing Authority of the City of Muncie,,,,,,,
EARTHSTONE TERRACE,3304 S Juniper Ln,Muncie,Delaware,IN,473026101,40.163585,-85.362677,Housing Authority of the City of Muncie,,,,,,,
EARTHSTONE TERRACE,3304 S Juniper Ln,Muncie,Delaware,IN,473026101,40.163585,-85.362677,Housing Authority of the City of Muncie,,,,,,,
EARTHSTONE TERRACE,3304 S Juniper Ln,Muncie,Delaware,IN,473026101,40.163585,-85.362677,Housing Authority of the City of Muncie,,,,,,,
EARTHSTONE TERRACE,3304 S Juniper Ln,Muncie,Delaware,IN,473026101,40.163585,-85.362677,Housing Authority of the City of Muncie,,,,,,,
EARTHSTONE TERRACE,3304 S Juniper Ln,Muncie,Delaware,IN,473026101,40.163585,-85.362677,Housing Authority of the City of Muncie,,,,,,,
GILLESPIE TOWER,701 W Jackson St Apt 101,Muncie,Delaware,IN,473051579,40.192752,-85.393203,Housing Authority of the City of Muncie,,,,,,,
GILLESPIE TOWER,701 W Jackson St Apt 101,Muncie,Delaware,IN,473051579,40.192752,-85.393203,Housing Authority of the City of Muncie,,,,,,,
GILLESPIE TOWER,701 W Jackson St Apt 101,Muncie,Delaware,IN,473051579,40.192752,-85.393203,Housing Authority of the City of Muncie,,,,,,,
GILLESPIE TOWER,701 W Jackson St Apt 101,Muncie,Delaware,IN,473051579,40.192752,-85.393203,Housing Authority of the City of Muncie,,,,,,,
GILLESPIE TOWER,701 W Jackson St Apt 101,Muncie,Delaware,IN,473051579,40.192752,-85.393203,Housing Authority of the City of Muncie,,,,,,,
GILLESPIE TOWER,701 W Jackson St Apt 101,Muncie,Delaware,IN,473051579,40.192752,-85.393203,Housing Authority of the City of Muncie,,,,,,,
GILLESPIE TOWER,701 W Jackson St Apt 101,Muncie,Delaware,IN,473051579,40.192752,-85.393203,Housing Authority of the City of Muncie,,,,,,,
GILLESPIE TOWER,701 W Jackson St Apt 101,Muncie,Delaware,IN,473051579,40.192752,-85.393203,Housing Authority of the City of Muncie,,,,,,,
GILLESPIE TOWER,701 W Jackson St Apt 101,Muncie,Delaware,IN,473051579,40.192752,-85.393203,Housing Authority of the City of Muncie,,,,,,,
R.A.GREENE SOUTHERN PINES,4313 S Pinewood Dr,Muncie,Delaware,IN,473026214,40.154536,-85.38724,Housing Authority of the City of Muncie,,,,,,,
R.A.GREENE SOUTHERN PINES,4313 S Pinewood Dr,Muncie,Delaware,IN,473026214,40.154536,-85.38724,Housing Authority of the City of Muncie,,,,,,,
R.A.GREENE SOUTHERN PINES,4313 S Pinewood Dr,Muncie,Delaware,IN,473026214,40.154536,-85.38724,Housing Authority of the City of Muncie,,,,,,,
R.A.GREENE SOUTHERN PINES,4313 S Pinewood Dr,Muncie,Delaware,IN,473026214,40.154536,-85.38724,Housing Authority of the City of Muncie,,,,,,,
R.A.GREENE SOUTHERN PINES,4313 S Pinewood Dr,Muncie,Delaware,IN,473026214,40.154536,-85.38724,Housing Authority of the City of Muncie,,,,,,,
R.A.GREENE SOUTHERN PINES,4313 S Pinewood Dr,Muncie,Delaware,IN,473026214,40.154536,-85.38724,Housing Authority of the City of Muncie,,,,,,,
R.A.GREENE SOUTHERN PINES,4313 S Pinewood Dr,Muncie,Delaware,IN,473026214,40.154536,-85.38724,Housing Authority of the City of Muncie,,,,,,,
R.A.GREENE SOUTHERN PINES,4313 S Pinewood Dr,Muncie,Delaware,IN,473026214,40.154536,-85.38724,Housing Authority of the City of Muncie,,,,,,,
R.A.GREENE SOUTHERN PINES,4313 S Pinewood Dr,Muncie,Delaware,IN,473026214,40.154536,-85.38724,Housing Authority of the City of Muncie,,,,,,,
WESTVALE MANOR,2207 Fulton St,Anderson,Madison,IN,460163657,40.093501,-85.708699,Housing Authority of the City of Anderson,,,,,,,
WESTVALE MANOR,2207 Fulton St,Anderson,Madison,IN,460163657,40.093501,-85.708699,Housing Authority of the City of Anderson,,,,,,,
WESTVALE MANOR,2207 Fulton St,Anderson,Madison,IN,460163657,40.093501,-85.708699,Housing Authority of the City of Anderson,,,,,,,
WESTVALE MANOR,2207 Fulton St,Anderson,Madison,IN,460163657,40.093501,-85.708699,Housing Authority of the City of Anderson,,,,,,,
WESTVALE MANOR,2207 Fulton St,Anderson,Madison,IN,460163657,40.093501,-85.708699,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (I),1104 Victory Ct,Anderson,Madison,IN,460162832,40.104887,-85.696961,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (I),1104 Victory Ct,Anderson,Madison,IN,460162832,40.104887,-85.696961,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (I),1104 Victory Ct,Anderson,Madison,IN,460162832,40.104887,-85.696961,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (I),1104 Victory Ct,Anderson,Madison,IN,460162832,40.104887,-85.696961,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (I),1104 Victory Ct,Anderson,Madison,IN,460162832,40.104887,-85.696961,Housing Authority of the City of Anderson,,,,,,,
LYNNWOOD VILLAGE,1518 Weatherly Way,Anderson,Madison,IN,460161999,40.099679,-85.662217,Housing Authority of the City of Anderson,,,,,,,
LYNNWOOD VILLAGE,1518 Weatherly Way,Anderson,Madison,IN,460161999,40.099679,-85.662217,Housing Authority of the City of Anderson,,,,,,,
LYNNWOOD VILLAGE,1518 Weatherly Way,Anderson,Madison,IN,460161999,40.099679,-85.662217,Housing Authority of the City of Anderson,,,,,,,
LYNNWOOD VILLAGE,1518 Weatherly Way,Anderson,Madison,IN,460161999,40.099679,-85.662217,Housing Authority of the City of Anderson,,,,,,,
LYNNWOOD VILLAGE,1518 Weatherly Way,Anderson,Madison,IN,460161999,40.099679,-85.662217,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (II),1410 W 11th St,Anderson,Madison,IN,460162812,40.105183,-85.696728,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (II),1410 W 11th St,Anderson,Madison,IN,460162812,40.105183,-85.696728,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (II),1410 W 11th St,Anderson,Madison,IN,460162812,40.105183,-85.696728,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (II),1410 W 11th St,Anderson,Madison,IN,460162812,40.105183,-85.696728,Housing Authority of the City of Anderson,,,,,,,
SCATTERED SITES (II),1410 W 11th St,Anderson,Madison,IN,460162812,40.105183,-85.696728,Housing Authority of the City of Anderson,,,,,,,
17TH ST REVITALIZATION,1628 Hendricks St,Anderson,Madison,IN,460163432,40.099407,-85.690593,Housing Authority of the City of Anderson,,,,,,,
17TH ST REVITALIZATION,1628 Hendricks St,Anderson,Madison,IN,460163432,40.099407,-85.690593,Housing Authority of the City of Anderson,,,,,,,
17TH ST REVITALIZATION,1628 Hendricks St,Anderson,Madison,IN,460163432,40.099407,-85.690593,Housing Authority of the City of Anderson,,,,,,,
17TH ST REVITALIZATION,1628 Hendricks St,Anderson,Madison,IN,460163432,40.099407,-85.690593,Housing Authority of the City of Anderson,,,,,,,
17TH ST REVITALIZATION,1628 Hendricks St,Anderson,Madison,IN,460163432,40.099407,-85.690593,Housing Authority of the City of Anderson,,,,,,,
GARDEN SQUARE,800 E Hoffer St,Kokomo,Howard,IN,469025736,40.466315,-86.122082,Kokomo Housing Authority,,,,,,,
GARDEN SQUARE,800 E Hoffer St,Kokomo,Howard,IN,469025736,40.466315,-86.122082,Kokomo Housing Authority,,,,,,,
GARDEN SQUARE,800 E Hoffer St,Kokomo,Howard,IN,469025736,40.466315,-86.122082,Kokomo Housing Authority,,,,,,,
GARDEN SQUARE,800 E Hoffer St,Kokomo,Howard,IN,469025736,40.466315,-86.122082,Kokomo Housing Authority,,,,,,,
GARDEN SQUARE,800 E Hoffer St,Kokomo,Howard,IN,469025736,40.466315,-86.122082,Kokomo Housing Authority,,,,,,,
GARDEN SQUARE,800 E Hoffer St,Kokomo,Howard,IN,469025736,40.466315,-86.122082,Kokomo Housing Authority,,,,,,,
GARDEN SQUARE,800 E Hoffer St,Kokomo,Howard,IN,469025736,40.466315,-86.122082,Kokomo Housing Authority,,,,,,,
DUNBAR COURT,906 N Purdum St,Kokomo,Howard,IN,469013075,40.493607,-86.124232,Kokomo Housing Authority,,,,,,,
DUNBAR COURT,906 N Purdum St,Kokomo,Howard,IN,469013075,40.493607,-86.124232,Kokomo Housing Authority,,,,,,,
DUNBAR COURT,906 N Purdum St,Kokomo,Howard,IN,469013075,40.493607,-86.124232,Kokomo Housing Authority,,,,,,,
DUNBAR COURT,906 N Purdum St,Kokomo,Howard,IN,469013075,40.493607,-86.124232,Kokomo Housing Authority,,,,,,,
DUNBAR COURT,906 N Purdum St,Kokomo,Howard,IN,469013075,40.493607,-86.124232,Kokomo Housing Authority,,,,,,,
DUNBAR COURT,906 N Purdum St,Kokomo,Howard,IN,469013075,40.493607,-86.124232,Kokomo Housing Authority,,,,,,,
DUNBAR COURT,906 N Purdum St,Kokomo,Howard,IN,469013075,40.493607,-86.124232,Kokomo Housing Authority,,,,,,,
TERRACE TOWER,605 S Bell St,Kokomo,Howard,IN,469015553,40.481423,-86.125974,Kokomo Housing Authority,,,,,,,
TERRACE TOWER,605 S Bell St,Kokomo,Howard,IN,469015553,40.481423,-86.125974,Kokomo Housing Authority,,,,,,,
TERRACE TOWER,605 S Bell St,Kokomo,Howard,IN,469015553,40.481423,-86.125974,Kokomo Housing Authority,,,,,,,
TERRACE TOWER,605 S Bell St,Kokomo,Howard,IN,469015553,40.481423,-86.125974,Kokomo Housing Authority,,,,,,,
TERRACE TOWER,605 S Bell St,Kokomo,Howard,IN,469015553,40.481423,-86.125974,Kokomo Housing Authority,,,,,,,
TERRACE TOWER,605 S Bell St,Kokomo,Howard,IN,469015553,40.481423,-86.125974,Kokomo Housing Authority,,,,,,,
TERRACE TOWER,605 S Bell St,Kokomo,Howard,IN,469015553,40.481423,-86.125974,Kokomo Housing Authority,,,,,,,
CIVIC CENTER TOWER,200 E Taylor St,Kokomo,Howard,IN,469014791,40.489461,-86.130027,Kokomo Housing Authority,,,,,,,
CIVIC CENTER TOWER,200 E Taylor St,Kokomo,Howard,IN,469014791,40.489461,-86.130027,Kokomo Housing Authority,,,,,,,
CIVIC CENTER TOWER,200 E Taylor St,Kokomo,Howard,IN,469014791,40.489461,-86.130027,Kokomo Housing Authority,,,,,,,
CIVIC CENTER TOWER,200 E Taylor St,Kokomo,Howard,IN,469014791,40.489461,-86.130027,Kokomo Housing Authority,,,,,,,
CIVIC CENTER TOWER,200 E Taylor St,Kokomo,Howard,IN,469014791,40.489461,-86.130027,Kokomo Housing Authority,,,,,,,
CIVIC CENTER TOWER,200 E Taylor St,Kokomo,Howard,IN,469014791,40.489461,-86.130027,Kokomo Housing Authority,,,,,,,
PINE VALLEY,100 W County Road  300 S,Kokomo,Howard,IN,469025139,40.433537,-86.129592,Kokomo Housing Authority,,,,,,,
PINE VALLEY,100 W County Road  300 S,Kokomo,Howard,IN,469025139,40.433537,-86.129592,Kokomo Housing Authority,,,,,,,
PINE VALLEY,100 W County Road  300 S,Kokomo,Howard,IN,469025139,40.433537,-86.129592,Kokomo Housing Authority,,,,,,,
PINE VALLEY,100 W County Road  300 S,Kokomo,Howard,IN,469025139,40.433537,-86.129592,Kokomo Housing Authority,,,,,,,
PINE VALLEY,100 W County Road  300 S,Kokomo,Howard,IN,469025139,40.433537,-86.129592,Kokomo Housing Authority,,,,,,,
PINE VALLEY,100 W County Road  300 S,Kokomo,Howard,IN,469025139,40.433537,-86.129592,Kokomo Housing Authority,,,,,,,
PINE VALLEY,100 W County Road  300 S,Kokomo,Howard,IN,469025139,40.433537,-86.129592,Kokomo Housing Authority,,,,,,,
KOKOMO PUBLIC HOUSING,1612 Gleneagles Dr,Kokomo,Howard,IN,469023181,40.455123,-86.15442,Kokomo Housing Authority,,,,,,,
KOKOMO PUBLIC HOUSING,1612 Gleneagles Dr,Kokomo,Howard,IN,469023181,40.455123,-86.15442,Kokomo Housing Authority,,,,,,,
KOKOMO PUBLIC HOUSING,1612 Gleneagles Dr,Kokomo,Howard,IN,469023181,40.455123,-86.15442,Kokomo Housing Authority,,,,,,,
KOKOMO PUBLIC HOUSING,1612 Gleneagles Dr,Kokomo,Howard,IN,469023181,40.455123,-86.15442,Kokomo Housing Authority,,,,,,,
KOKOMO PUBLIC HOUSING,1612 Gleneagles Dr,Kokomo,Howard,IN,469023181,40.455123,-86.15442,Kokomo Housing Authority,,,,,,,
KOKOMO PUBLIC HOUSING,1612 Gleneagles Dr,Kokomo,Howard,IN,469023181,40.455123,-86.15442,Kokomo Housing Authority,,,,,,,
KOKOMO PUBLIC HOUSING,1612 Gleneagles Dr,Kokomo,Howard,IN,469023181,40.455123,-86.15442,Kokomo Housing Authority,,,,,,,
KOKOMO PHA,1505 Buick Ln,Kokomo,Howard,IN,469022523,40.470052,-86.101129,Kokomo Housing Authority,,,,,,,
KOKOMO PHA,1505 Buick Ln,Kokomo,Howard,IN,469022523,40.470052,-86.101129,Kokomo Housing Authority,,,,,,,
KOKOMO PHA,1505 Buick Ln,Kokomo,Howard,IN,469022523,40.470052,-86.101129,Kokomo Housing Authority,,,,,,,
KOKOMO PHA,1505 Buick Ln,Kokomo,Howard,IN,469022523,40.470052,-86.101129,Kokomo Housing Authority,,,,,,,
KOKOMO PHA,1505 Buick Ln,Kokomo,Howard,IN,469022523,40.470052,-86.101129,Kokomo Housing Authority,,,,,,,
KOKOMO PHA,1505 Buick Ln,Kokomo,Howard,IN,469022523,40.470052,-86.101129,Kokomo Housing Authority,,,,,,,
KOKOMO PHA,1505 Buick Ln,Kokomo,Howard,IN,469022523,40.470052,-86.101129,Kokomo Housing Authority,,,,,,,
SUPERIOR STREET APARTMENTS,404 E Superior St,Kokomo,Howard,IN,469014840,40.485729,-86.127484,Kokomo Housing Authority,,,,,,,
SUPERIOR STREET APARTMENTS,404 E Superior St,Kokomo,Howard,IN,469014840,40.485729,-86.127484,Kokomo Housing Authority,,,,,,,
SUPERIOR STREET APARTMENTS,404 E Superior St,Kokomo,Howard,IN,469014840,40.485729,-86.127484,Kokomo Housing Authority,,,,,,,
SUPERIOR STREET APARTMENTS,404 E Superior St,Kokomo,Howard,IN,469014840,40.485729,-86.127484,Kokomo Housing Authority,,,,,,,
SUPERIOR STREET APARTMENTS,404 E Superior St,Kokomo,Howard,IN,469014840,40.485729,-86.127484,Kokomo Housing Authority,,,,,,,
SUPERIOR STREET APARTMENTS,404 E Superior St,Kokomo,Howard,IN,469014840,40.485729,-86.127484,Kokomo Housing Authority,,,,,,,
SUPERIOR STREET APARTMENTS,404 E Superior St,Kokomo,Howard,IN,469014840,40.485729,-86.127484,Kokomo Housing Authority,,,,,,,
MERLE HENDERSON APARTMENTS,81 S 14th St,Richmond,Wayne,IN,473745666,39.827674,-84.883016,Housing Authority of the City of Richmond,,,,,,,
MERLE HENDERSON APARTMENTS,81 S 14th St,Richmond,Wayne,IN,473745666,39.827674,-84.883016,Housing Authority of the City of Richmond,,,,,,,
MERLE HENDERSON APARTMENTS,81 S 14th St,Richmond,Wayne,IN,473745666,39.827674,-84.883016,Housing Authority of the City of Richmond,,,,,,,
MERLE HENDERSON APARTMENTS,81 S 14th St,Richmond,Wayne,IN,473745666,39.827674,-84.883016,Housing Authority of the City of Richmond,,,,,,,
MERLE HENDERSON APARTMENTS,81 S 14th St,Richmond,Wayne,IN,473745666,39.827674,-84.883016,Housing Authority of the City of Richmond,,,,,,,
SOUTHVIEW APTS,1101 S 16th St Apt D,Richmond,Wayne,IN,473746583,39.814852,-84.880363,Housing Authority of the City of Richmond,,,,,,,
